,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Comedy,Crime,Western,Film-Noir,Horror,Thriller,News,War,Fantasy,Romance,Documentary,Animation,History,Adventure,Action,Sport,Family,Mystery,Sci-Fi,Short,Drama,Biography,Music,Musical
5541,tt0268200,movie,Brigham City,Brigham City,0,2001,\N,119,"['Crime', 'Drama', 'Mystery']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5542,tt0268380,movie,Ice Age,Ice Age,0,2002,\N,81,"['Adventure', 'Animation', 'Comedy']",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5543,tt0268397,movie,Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,0,2001,\N,82,"['Action', 'Adventure', 'Animation']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
5544,tt0268690,movie,Thirteen Conversations About One Thing,Thirteen Conversations About One Thing,0,2001,\N,104,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5545,tt0268695,movie,The Time Machine,The Time Machine,0,2002,\N,96,"['Action', 'Adventure', 'Sci-Fi']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5546,tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,135,"['Biography', 'Drama']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5547,tt0268995,movie,The Majestic,The Majestic,0,2001,\N,152,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5548,tt0269095,movie,City by the Sea,City by the Sea,0,2002,\N,108,"['Crime', 'Drama', 'Mystery']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5549,tt0269329,movie,Alias Betty,Betty Fisher et autres histoires,0,2001,\N,103,"['Comedy', 'Crime', 'Drama']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5550,tt0269341,movie,Two Can Play That Game,Two Can Play That Game,0,2001,\N,90,"['Comedy', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5551,tt0269347,movie,The Hunted,The Hunted,0,2003,\N,94,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5552,tt0269389,movie,Jalla! Jalla!,Jalla! Jalla!,0,2000,\N,88,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5553,tt0269499,movie,My Wife Is an Actress,Ma femme est une actrice,0,2001,\N,95,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5554,tt0269743,movie,Barking Dogs Never Bite,Flandersui gae,0,2000,\N,110,['Comedy'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5555,tt0269746,movie,What Time Is It There?,Ni na bian ji dian,0,2001,\N,116,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5556,tt0270259,movie,The Business of Strangers,The Business of Strangers,0,2001,\N,84,"['Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5557,tt0270288,movie,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,0,2002,\N,113,"['Biography', 'Comedy', 'Crime']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5558,tt0270560,movie,Our Lips Are Sealed,Our Lips Are Sealed,0,2000,\N,89,"['Comedy', 'Crime', 'Family']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5559,tt0270688,movie,Teknolust,Teknolust,0,2002,\N,85,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5560,tt0270707,movie,The Truth About Charlie,The Truth About Charlie,0,2002,\N,104,"['Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5561,tt0270933,movie,Escaflowne: The Movie,Escaflowne,0,2000,\N,98,"['Action', 'Adventure', 'Animation']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
5562,tt0270980,movie,My Boss's Daughter,My Boss's Daughter,0,2003,\N,86,"['Comedy', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5563,tt0271027,movie,Kiss of the Dragon,Kiss of the Dragon,0,2001,\N,98,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5564,tt0271211,movie,Stoked: The Rise and Fall of Gator,Stoked: The Rise and Fall of Gator,0,2002,\N,82,"['Documentary', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5565,tt0271219,movie,Tadpole,Tadpole,0,2000,\N,78,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
